,L1,YEAR,PR,D,F,DOLLARS,L2,OUTLET,UNITS
5935,1,2009,357,653,1733,8589.72,10,0,5945
5936,2,2009,61,0,285,1875.89,14,0,474
5937,0,2010,273,6,1203,7535.94,4,0,1639
5938,1,2010,329,847,1931,10928.12,10,0,7949
5939,2,2010,68,0,306,1818.02,14,0,471
5940,0,2011,248,6,1085,8083.13,4,0,1428
5941,1,2011,357,883,1853,12376.59,10,0,8819
5942,2,2011,66,0,292,1673.31,14,0,435
5943,0,2007,2,0,10,31.3,4,0,10
5944,1,2007,6,5,31,69.8,10,0,47
5945,0,2008,16,7,110,722.36,4,0,166
5946,1,2008,203,98,706,1812.37,12,0,1305
5947,2,2008,2,4,16,29.68,14,0,13
5948,0,2009,12,0,25,301.88,4,0,76
5949,1,2009,20,11,67,189.64,12,0,145
5950,2,2009,1,0,6,19.39,14,0,16
5951,1,2007,0,0,3,2.97,10,0,4
5952,0,2008,0,0,1,3.67,6,0,1
5953,1,2008,65,122,154,237.41,10,0,314
5954,2,2008,0,0,7,48.87,14,0,7
5955,1,2009,1,2,2,3.22,10,0,4
5956,1,2008,16,0,26,35.13,11,0,95
5957,2,2008,0,0,6,17.34,14,0,6
5958,1,2009,14,0,25,20.91,11,0,51
5959,1,2010,17,0,36,30.83,8,0,64
5960,2,2010,0,0,3,20.9,14,0,3
5961,1,2011,7,0,30,57.37,10,0,52
5962,2,2011,0,0,1,3.0,14,0,1
5963,0,2007,2,0,14,96.08,4,0,20
5964,1,2007,13,24,54,162.58,10,0,93
5965,2,2007,1,0,8,42.36,14,0,29
5966,0,2008,254,6,1202,11187.24,4,0,2433
5967,1,2008,465,768,1772,6753.69,10,0,4491
5968,2,2008,53,0,255,1785.93,14,0,700
5969,0,2009,151,7,599,4561.86,4,0,884
5970,1,2009,244,335,852,3227.69,10,0,1755
5971,2,2009,29,3,145,726.27,14,0,257
5972,0,2010,163,26,695,7057.08,4,0,1446
5973,1,2010,223,159,1081,4926.58,10,0,2525
5974,2,2010,35,0,130,848.34,14,0,305
5975,0,2011,290,24,1326,15804.2,4,0,2805
5976,1,2011,487,334,2174,9337.83,10,0,4725
5977,2,2011,66,1,257,1532.78,14,0,469
5978,0,2007,6,2,33,451.84,4,0,80
5979,1,2007,10,4,37,536.62,15,0,252
5980,2,2007,0,0,3,52.03,14,0,7
5981,0,2008,317,48,1425,21955.18,4,0,3717
5982,1,2008,255,706,2057,26839.52,10,0,14578
5983,2,2008,12,0,134,2105.87,14,0,374
5984,0,2009,280,37,1340,22407.65,4,0,3811
5985,1,2009,337,1041,2324,31056.62,10,0,14777
5986,2,2009,22,0,149,2105.57,14,0,352
5987,0,2010,332,29,1773,22861.05,4,0,3893
5988,1,2010,390,1032,2674,26629.09,10,0,13220
5989,2,2010,41,0,231,2437.06,14,0,474
5990,0,2011,335,10,1771,24504.75,4,0,3664
5991,1,2011,566,1219,3214,28413.54,10,0,14175
5992,2,2011,44,0,250,2280.78,14,0,454
5993,0,2007,5,0,22,183.33,4,0,61
5994,1,2007,12,6,60,206.58,10,0,143
5995,2,2007,1,0,9,110.42,14,0,73
5996,0,2008,401,0,1699,21211.95,4,0,4790
5997,1,2008,491,519,2292,11522.89,10,0,8444
5998,2,2008,78,1,408,4643.08,14,0,1656
5999,0,2009,394,30,1556,21477.59,4,0,4523
6000,1,2009,393,466,1986,11216.74,10,0,7069
6001,2,2009,128,0,417,4589.25,14,0,1595
6002,0,2010,327,21,1499,18986.99,4,0,4355
6003,1,2010,472,476,2184,10337.34,10,0,6853
6004,2,2010,103,0,368,3727.84,14,0,1424
6005,0,2011,353,19,1449,18515.7,4,0,3630
6006,1,2011,437,367,1988,9071.6,10,0,5552
6007,2,2011,103,0,374,2721.57,14,0,1011
6008,0,2007,4,0,15,203.21,4,0,71
6009,1,2007,11,8,32,72.45,10,0,48
6010,2,2007,1,0,6,37.16,14,0,34
6011,0,2008,212,57,834,18348.26,4,0,4685
6012,1,2008,386,623,1135,3382.39,10,0,2461
6013,2,2008,69,8,214,2401.44,14,0,924
6014,0,2009,227,45,863,14466.93,4,0,3403
6015,1,2009,336,547,1112,2985.76,10,0,1834
6016,2,2009,55,20,183,1916.82,14,0,676
6017,0,2010,232,155,865,14311.07,4,0,3566
6018,1,2010,380,528,1287,3499.23,10,0,2237
6019,2,2010,48,12,160,1415.63,14,0,491
6020,0,2011,199,39,873,14209.55,4,0,2866
